,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Protein Mass (Da) / Cell,,,,,,,,,,,,,,,,,,
Accession,UP_AC,Description,Peptide count,Peptides used for quantitation,Confidence score,Gene,nb of possible Peptides,Molecular weight (Da),LC-MS Experiment,glucose,50 mM NaCl,pH 6,42°C,anaerobic,stationary 1 day,stationary 3 days,chemostat µ=0.12,chemostat µ=0.5,galactose,acetate,glycerol,LB,glucosamine,fumarate,succinate,pyruvate,chemostat µ=0.20,chemostat µ=0.35,glucose,50 mM NaCl,pH 6,42°C,anaerobic,stationary 1 day,stationary 3 days,chemostat µ=0.12,chemostat µ=0.5,galactose,acetate,glycerol,LB,glucosamine,fumarate,succinate,pyruvate,chemostat µ=0.20,chemostat µ=0.35
sp|P00957|SYA_ECOLI,P00957,Alanyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=alaS PE=1 SV=2,57,52,3861.88,alaS,54,95954.64438,No fractionation,1869.678681,1565.197043,1630.19246,1684.926111,1533.861361,202.0311987,261.7839043,337.8819873,801.8368848,455.9708177,502.8775521,962.9487017,2543.83219,1280.991322,1026.778939,888.9731821,573.3745483,432.7801543,454.3355751,179404352.9,150187925.6,156424537.7,161676485.7,147181121.4,19385831.82,25119381.44,32421345.94,76939973.13,43752517.66,48253436.67,92399400.23,244092513.1,122917066.7,98524207.97,85301105.55,55017950.88,41527265.8,43595608.54
sp|P08839|PT1_ECOLI,P08839,Phosphoenolpyruvate-protein phosphotransferase OS=Escherichia coli (strain K12) GN=ptsI PE=1 SV=1,55,51,4198.97,ptsI,32,63503.89517,No fractionation,5478.064867,4779.752398,4750.623154,4775.184183,2793.871033,720.0855404,806.7311231,1068.585427,2685.874688,1742.044098,1661.223642,2476.075413,7482.08394,2742.864306,2046.85386,1832.69837,1323.111499,1135.347712,1490.976481,347878457.1,303532895.2,301683074.8,303242795.8,177421693.2,45728236.67,51230568.67,67859336.94,170563504.6,110626585.8,105494172,157240433.5,475141474.2,174182567.3,129983192.9,116383485.1,84022733.92,72099002.11,94682814.17
sp|P0ABB4|ATPB_ECOLI,P0ABB4,ATP synthase subunit beta OS=Escherichia coli (strain K12) GN=atpD PE=1 SV=2,51,49,4816.67,atpD,25,50275.81931,No fractionation,12168.87883,10696.25319,11475.17219,10544.28435,12011.73585,1754.484296,2441.947753,5711.293707,12043.16789,8099.706315,11076.93325,11372.30556,18751.01073,13161.46868,12246.3401,12690.87363,12124.258,7038.784659,9096.702268,611800353.3,537762892.7,576923683.8,530122534.8,603899861.1,88208135.44,122770924,287139970.4,605480132.6,407219371.2,556901894.5,571751979.4,942722427.4,661703621.1,615694782,638044069.7,609557004.4,353880665.7,457344159.6
sp|P23843|OPPA_ECOLI,P23843,Periplasmic oligopeptide-binding protein OS=Escherichia coli (strain K12) GN=oppA PE=1 SV=2,50,49,4023.09,oppA,34,60842.91364,No fractionation,7261.696763,7567.634948,10136.46718,6581.069696,11543.76849,5069.925012,4463.217898,10927.41321,9568.431342,6414.31981,6407.828008,6848.892399,6902.462796,8800.532855,5986.39571,6906.918968,7723.165613,9956.763024,8061.970342,441822789.1,460436959.6,616732197.3,400411455.2,702356509.2,308469009.6,271555181.1,664855658.2,582171241.8,390265906.2,389870926.1,416706568.8,419965947.8,535450060.5,364229757.2,420237074.3,469899898.4,605798472.8,490513765.3
sp|P0A6B7|ISCS_ECOLI,P0A6B7,Cysteine desulfurase OS=Escherichia coli (strain K12) GN=iscS PE=1 SV=1,46,46,3284.49,iscS,25,45042.91969,No fractionation,7653.19791,6697.041728,6917.079473,6698.274602,4476.122084,480.3639005,524.7678754,2223.055104,4463.789585,3884.284539,4572.103573,5219.547925,8049.364191,6194.061971,4088.424414,4243.15038,3410.138672,2472.111864,3049.595888,344722378.8,301654312.7,311565455.2,301709845,201617607.5,21636992.59,23637077.27,100132892.5,201062115.8,174959516.5,205940894.1,235103678,362566864.8,278998635.9,184154572.5,191123881.8,153602602.3,111351136.1,137362702.7
sp|P08200|IDH_ECOLI,P08200,Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1,48,45,4269.13,icd ,24,45709.46787,No fractionation,17773.34355,16958.98156,21051.13018,16276.10198,17971.57984,2233.075367,2600.193267,9597.191635,17961.73538,12384.22607,16359.09957,12945.81798,10987.22822,16595.30377,16299.04595,17876.47062,16052.65862,13329.84189,16448.27372,812410075.8,775186022.6,962235958.7,743971960.6,821471351.2,102072686.7,118853450.6,438682522.7,821021366.4,566076383.4,747765736.1,591746450.9,502220355.5,758562504.3,745020717,817123959.3,733758483.5,609299979.6,751841839.3
sp|P0A850|TIG_ECOLI,P0A850,Trigger factor OS=Escherichia coli (strain K12) GN=tig PE=1 SV=1,48,45,3795.47,tig ,26,48144.85133,No fractionation,10564.01673,9189.115109,9657.202248,9353.536968,11368.22925,1174.791258,1779.418063,4048.480247,8390.004248,4794.439343,6295.671897,6706.097717,23447.47085,9120.901804,6856.833909,7189.589872,5837.897672,4815.373584,6394.316983,508603015,442408580.8,464944566.5,450324646.7,547321707.1,56560150.48,85669818.11,194913479.6,403935507.2,230827569.4,303104187.5,322864077.6,1128874998,439124461.4,330121249.2,346141735.5,281064715.5,231835445.3,307853440.5
sp|P06959|ODP2_ECOLI,P06959,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) GN=aceF PE=1 SV=3,47,44,3929.8,aceF,36,66036.77654,No fractionation,4396.139711,3992.611762,4046.987854,4305.154438,1517.409128,545.4455792,556.5712943,1436.139924,2027.601916,1481.765655,1413.055847,2021.56461,11633.67416,5115.005466,2157.26295,2693.70485,6261.971381,1319.445058,1554.543483,290306895.7,263659210.7,267250032.6,284298521.6,100204807.5,36019467.83,36754174.19,94838051.27,133896294.6,97851027.46,93313653.19,133497610.4,768250340.6,337778472.9,142458691.4,177883585.2,413520404.8,87131898.47,102657040.6
sp|P0CE47|EFTU1_ECOLI,P0CE47,Elongation factor Tu 1 OS=Escherichia coli (strain K12) GN=tufA PE=1 SV=1,45,44,4651.5,tufA,24,43238.30279,No fractionation,58506.10935,53588.95104,55134.478,52168.38656,56177.49287,6164.500308,12994.61654,28072.85914,43265.39195,29964.43701,37603.31865,39021.73513,103700.7067,52645.42416,44078.76978,45964.72895,39412.17861,31090.01689,41656.227,2529704871,2317095291,2383921254,2255672494,2429019447,266542530.9,561865164.6,1213822784,1870722117,1295611400,1625903678,1687233599,4483842557,2276298790,1905891194,1987436868,1704115712,1344279564,1801144556
sp|P00961|SYGB_ECOLI,P00961,Glycyl-tRNA synthetase beta subunit OS=Escherichia coli (strain K12) GN=glyS PE=1 SV=4,47,43,3709.65,glyS,44,76746.96578,No fractionation,1843.723679,1602.568553,1639.984314,1730.321229,771.0976787,181.8718818,187.3424606,342.8551747,800.2704376,655.357864,761.0621297,1282.915338,3931.104675,1652.716604,1290.238551,1058.277568,735.9994793,349.2700488,403.7950833,141500198.1,122992273.9,125863820,132796904.1,59179407.16,13958115.09,14377965.41,26313094.36,61418327.89,50296727.56,58409209.23,98459859.52,301700355.9,126840984.6,99021893.95,81219592.27,56485726.85,26805416.49,30990047.44
sp|P05055|PNP_ECOLI,P05055,Polyribonucleotide nucleotidyltransferase OS=Escherichia coli (strain K12) GN=pnp PE=1 SV=3,48,43,3444.06,pnp ,34,77034.97797,No fractionation,4268.893952,3891.153264,4055.0346,3762.287648,3639.539785,487.2020558,627.5753977,1867.854976,3058.409664,2337.590186,2827.554709,2996.589737,6838.72013,3851.421614,3404.154233,3237.455522,2510.493502,1940.272947,2042.730773,328854151.5,299754905.9,312379501.1,289827746.1,280371867.2,37531599.64,48345256.94,143890166.9,235604521.1,180076208.5,217820614.7,230842224.4,526820654.6,296694179.2,262238946.3,249397314.8,193395811.6,149468883.7,157361720.1
sp|P09373|PFLB_ECOLI,P09373,Formate acetyltransferase 1 OS=Escherichia coli (strain K12) GN=pflB PE=1 SV=2,48,43,3181.48,pflB,46,85284.7241,No fractionation,2343.566413,2332.428383,1897.821424,2218.893837,1149.990974,366.8002276,414.9463029,198.4971684,508.965267,694.9318307,762.996703,1835.681675,2884.183208,1648.155122,1444.568232,958.3952198,800.5682594,260.4078441,270.4112337,199870414.9,198920511.1,161855176.5,189237748.7,98076662.93,31282456.21,35388580.96,16928776.24,43406962.37,59267069.45,65071963.31,156555605.2,245976769.1,140562454.8,123199603.1,81736471.9,68276243.13,22208811.13,23061947.46
sp|P0A6Z3|HTPG_ECOLI,P0A6Z3,Chaperone protein htpG OS=Escherichia coli (strain K12) GN=htpG PE=1 SV=1,45,42,3144.33,htpG,38,71360.33894,No fractionation,2262.110823,1924.686604,1946.055926,2065.484529,1504.251061,329.8878927,464.7218381,647.2027896,1406.29837,836.8176225,1314.727502,1754.380669,6808.106183,1985.238632,1711.000496,1681.617124,1083.262603,782.5945269,946.5531391,161424995,137346288.4,138871210.5,147393676,107343865.5,23540911.83,33162707.88,46184610.43,100353928.4,59715589.17,93819400.15,125193199.2,485828764.7,141667301.6,122097575.3,120000768,77301986.53,55846210.69,67546352.83
sp|P0ABB0|ATPA_ECOLI,P0ABB0,ATP synthase subunit alpha OS=Escherichia coli (strain K12) GN=atpA PE=1 SV=1,44,42,4893.95,atpA,30,55169.73662,No fractionation,10440.33158,9056.57291,9942.061902,9086.716155,12029.24934,2167.100037,3202.580556,7087.277222,11360.07434,7354.675683,9851.740193,10061.81783,14616.83872,10886.51932,11419.91642,11070.76612,10596.67106,8260.910778,9250.865589,575990343.6,499648742.1,548500936.6,501311737,663650518,119558338.3,176685525.8,391003217.7,626732309.2,405755520.4,543517911.7,555107839.9,806407142.5,600606403.3,630033781.2,610771251.2,584615551.6,455752271.9,510367818.1
sp|P0A6E4|ASSY_ECOLI,P0A6E4,Argininosuccinate synthase OS=Escherichia coli (strain K12) GN=argG PE=1 SV=2,43,41,3567.28,argG,29,49848.81733,No fractionation,6787.985035,5946.55261,7456.147887,5727.553045,4262.462315,453.5391265,442.7409418,1104.868817,3210.487213,2137.484486,2274.656333,3341.82064,1117.714917,4975.931186,2952.36595,3099.370312,2939.893184,1567.699254,1666.131914,338373026.1,296428614.8,371680154,285511745.5,212478705.3,22608389.07,22070112.33,55076403.84,160038990.6,106551073.7,113388928,166585806.7,55716766.73,248044284.7,147171950.9,154499944.5,146550198.3,78147953.74,83054705.4
sp|P0A6F3|GLPK_ECOLI,P0A6F3,Glycerol kinase OS=Escherichia coli (strain K12) GN=glpK PE=1 SV=2,43,41,3680.41,glpK,30,56177.25025,No fractionation,740.6834971,625.0791932,664.2874312,615.0222105,538.417421,493.4760325,458.2046656,735.7007344,674.3081802,524.3587593,573.7113154,13970.06747,9432.040853,724.3060755,679.6420434,564.9255291,470.4224607,688.4223856,676.519831,41609562.17,35115230.26,37317841.26,34550256.63,30246810.2,27722126.57,25740678.17,41329644.27,37880779.38,29457033.24,32229524.14,784799976.3,529866119.4,40689523.66,38180421.15,31735962.82,26427040.3,38673676.63,38005023.85
sp|P0A825|GLYA_ECOLI,P0A825,Serine hydroxymethyltransferase OS=Escherichia coli (strain K12) GN=glyA PE=1 SV=1,43,41,3906.57,glyA,21,45269.96251,No fractionation,18107.79857,15861.56398,19444.04773,14698.27587,17489.29503,1582.529629,2026.711777,4621.254345,10258.6678,9048.705365,8992.204122,10476.62357,7911.372097,17539.34713,11212.01835,11908.80673,9862.870102,5276.572742,5965.039865,819739362.4,718052406.8,880231311.9,665390397.5,791739730.4,71641056.98,91749166.15,209204010.9,464409506.7,409634552.6,407076743.5,474276356.4,358147518.2,794005586.9,507567650.3,539111234,446491759.8,238870250.2,270037131.1
sp|P0AFG3|ODO1_ECOLI,P0AFG3,2-oxoglutarate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=sucA PE=1 SV=1,44,41,2857.35,sucA,51,104977.5259,No fractionation,1252.856742,1076.799941,1045.667997,980.7794916,441.9797487,209.2247582,185.6116443,299.1851422,859.6695725,276.2843164,811.1668414,749.8201667,2177.322983,1143.67524,1026.688153,1236.053661,1140.668083,369.1803986,535.5524765,131521801.1,113039793.6,109771639.2,102959804.5,46397940.52,21963897.47,19485051.2,31407716.02,90245984.81,29003643.98,85154288.1,78714265.97,228569979.8,120060197.1,107779182.2,129757855.2,119744513.2,38755644.86,56220973.97
sp|P16659|SYP_ECOLI,P16659,Prolyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=proS PE=1 SV=4,44,41,3061.8,proS,34,63634.68294,No fractionation,3338.376229,2463.400827,3191.610903,2980.362634,3089.00579,361.7247762,466.6480342,1199.924819,2203.640876,1376.993637,1702.453035,2171.340661,4727.544693,2750.413211,2207.326512,2126.796313,1817.524967,1254.088374,1612.40964,212436512.9,156757730.6,203097147.9,189654431.2,196567904.1,23018241.45,29694999.7,76356835.43,140227988.5,87624553.5,108335059.1,138172574.5,300835807.6,175021672.7,140462522.7,135338009,115657625,79803516.04,102605176.2
sp|P0A799|PGK_ECOLI,P0A799,Phosphoglycerate kinase OS=Escherichia coli (strain K12) GN=pgk PE=1 SV=2,42,40,4016.38,pgk ,20,41074.62371,No fractionation,17198.74209,15371.73259,18858.03353,15476.88954,21771.79453,4931.598744,7414.135283,13374.66055,15828.74521,13389.6858,15873.09205,15051.4819,23916.34382,16038.89519,13600.67781,12737.06406,12338.02092,13645.47509,14865.77771,706431859.6,631388131.9,774586631.3,635707414.1,894268267.9,202563562.7,304532816.9,549359149.4,650159753.4,549976305.7,651981282.9,618233955.5,982354823,658791584.5,558642723.4,523170113.4,506779566.4,560482754.7,610606225.7
sp|P25553|ALDA_ECOLI,P25553,Lactaldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=aldA PE=1 SV=2,42,40,3421.17,aldA,27,52221.71682,No fractionation,2311.626915,2253.781134,1760.851003,1879.979985,1181.00776,464.7589049,561.6292144,6357.394193,5590.78811,8159.267327,7785.308544,6691.335049,4760.258112,4082.600907,8361.069699,7172.364295,5392.313886,6834.293875,6050.659339,120717126.1,117696320.1,91954662.45,98175782.4,61674252.79,24270507.92,29329241.79,331994039.2,291960553.5,426090947.8,406562178.1,349433004.1,248588851.1,213200428.5,436629414.1,374553177.1,281595888.7,356898559.4,315975818.6
sp|P00370|DHE4_ECOLI,P00370,NADP-specific glutamate dehydrogenase OS=Escherichia coli (strain K12) GN=gdhA PE=1 SV=1,41,39,3063.73,gdhA,26,48532.35541,No fractionation,8123.541187,6463.247744,7747.484829,6229.507715,3011.194113,523.6612195,465.0100381,1036.390462,4776.08486,2482.173892,3645.49543,4022.523818,1045.242488,5883.917123,3467.089719,3476.938241,3672.416743,1582.610625,2808.452952,394254588.1,313676636.6,376003687.2,302332682.4,146140342.9,25414512.42,22568032.44,50298470.26,231794647.9,120465745.5,176924479.9,195222555.6,50728079.93,285560357,168266030.5,168744002.4,178231034.6,76807821.34,136300836.8
sp|P09832|GLTD_ECOLI,P09832,Glutamate synthase [NADPH] small chain OS=Escherichia coli (strain K12) GN=gltD PE=1 SV=3,40,39,2705.36,gltD,29,51964.01557,No fractionation,4515.011519,4115.374901,4655.37523,3866.427636,3658.373834,1001.594111,2321.726416,785.4662886,2217.368888,1237.546754,1340.334251,1726.925802,1115.152079,2819.058504,1399.502429,1511.124433,1204.649013,1057.854902,1285.507469,234618128.8,213851405.4,241911990.9,200915105.9,190103794.9,52046851.97,120646227.6,40815982.45,115223391.4,64307898.78,69649149.89,89737999.29,57947780.02,146489600,72723765.99,78524093.56,62598400.06,54970388.6,66800130.15
sp|P0A6P9|ENO_ECOLI,P0A6P9,Enolase OS=Escherichia coli (strain K12) GN=eno PE=1 SV=2,40,39,3296.97,eno ,23,45608.41069,No fractionation,17936.96979,16344.94466,18789.85631,16123.98603,23996.25764,3554.214558,6322.989701,10199.63175,13997.44702,11169.69356,12485.72545,13198.86324,23490.26711,17805.84383,11792.9304,10490.35348,12201.81025,9631.130669,10123.23873,818076684.8,745466948.8,856975483.4,735389376.6,1094431174,162102077.2,288381511.1,465188993.6,638401312.3,509431971.4,569454094,601979175.2,1071353749,812096238.1,537856812.8,478448349.9,556505173,439260563,461704829.5
sp|P0A9C5|GLNA_ECOLI,P0A9C5,Glutamine synthetase OS=Escherichia coli (strain K12) GN=glnA PE=1 SV=2,43,39,3309.32,glnA,26,51852.71686,No fractionation,14058.32496,10010.97694,13460.43765,9786.622706,8340.638006,2946.787352,2150.976691,2946.474081,6956.753768,4822.982828,3828.782221,6108.100309,5672.901339,9387.741943,5103.451161,5476.0171,4649.826806,4315.18153,4768.172706,728962343.6,519096352.8,697960262.1,507462976.2,432484741,152798930.2,111533985.3,152782686.3,360726583.4,250084763,198532760.4,316721595.9,294155346.9,486779924.9,264627808.1,283946364.2,241106152.8,223753886.1,247242709.3
sp|P00350|6PGD_ECOLI,P00350,"6-phosphogluconate dehydrogenase, decarboxylating OS=Escherichia coli (strain K12) GN=gnd PE=1 SV=2",40,38,3476.35,gnd ,29,51431.30094,No fractionation,10172.41289,8388.154616,10541.90951,8896.577032,6294.198401,1161.229636,1829.654357,1315.99571,4025.966582,2765.769582,3426.282323,4885.745277,11645.09537,7498.096949,4959.99847,5197.431496,4492.959186,1514.625829,2207.468863,523180428.5,431413704.4,542184120.5,457562530.6,323718812.1,59723550.89,94101503.83,67683371.42,207060698.9,142247127.7,176218157.3,251280235.7,598922404.5,385636880.7,255099174,267310663.4,231078736,77899176.82,113532995.4
sp|P0A940|YAET_ECOLI,P0A940,Outer membrane protein assembly factor yaeT OS=Escherichia coli (strain K12) GN=yaeT PE=1 SV=1,41,37,2538.73,yaeT,48,90478.46722,No fractionation,1526.06337,1323.578413,1440.380747,1510.605803,995.3822629,397.5078887,306.6398995,1599.40947,1059.412069,895.5387905,894.5694852,1093.838912,1471.717258,1426.286437,939.0109532,1054.925764,925.603651,1058.346377,891.486337,138075874.6,119755346.1,130323442.2,136677297.6,90060661.44,35965904.48,27744308.09,144712117.3,95853980.18,81026977.1,80939275.85,98968868.15,133158721.7,129048210.6,84960271.75,95448066.19,83747199.6,95757558.01,80660317.32
